rank,c,delta,p,chi,net_vol_pct,conditioned_windows,min_rank
969,0.2,3.0,0.4,0.9,5.083169931762729,12,9
970,0.2,3.0,0.5,0.9,5.098673630192864,12,9
971,0.2,2.75,0.5,0.9,5.099225692488292,12,9
972,0.2,0.75,1.0,0.9,5.10686390450278,0,10
973,0.2,2.0,0.6,0.9,5.110188846054749,0,10
974,0.2,2.25,0.6,0.9,5.1109261657414224,3,9
975,0.2,2.5,0.6,0.9,5.113300042061659,12,9
976,0.2,3.0,0.6,0.9,5.113536144606496,12,9
977,0.2,1.0,1.0,0.9,5.11654700831977,0,10
978,0.0,1.75,0.0,0.9,5.116817309978245,36,7
979,0.1,1.75,0.0,0.9,5.116817309978245,36,7
980,0.2,1.75,0.0,0.9,5.116817309978245,36,7
981,0.3,1.75,0.0,0.9,5.116817309978245,36,7
982,0.4,1.75,0.0,0.9,5.116817309978245,36,7
983,0.5,1.75,0.0,0.9,5.116817309978245,36,7
984,0.6,1.75,0.0,0.9,5.116817309978245,36,7
985,0.7,1.75,0.0,0.9,5.116817309978245,36,7
986,0.2,1.25,0.9,0.9,5.120084429010944,0,10
987,0.0,3.0,0.0,0.9,5.123446316511295,40,6
988,0.1,3.0,0.0,0.9,5.123446316511295,40,6
989,0.2,3.0,0.0,0.9,5.123446316511295,40,6
990,0.3,3.0,0.0,0.9,5.123446316511295,40,6
991,0.4,3.0,0.0,0.9,5.123446316511295,40,6
992,0.5,3.0,0.0,0.9,5.123446316511295,40,6
993,0.6,3.0,0.0,0.9,5.123446316511295,40,6
994,0.7,3.0,0.0,0.9,5.123446316511295,40,6
995,0.2,2.75,0.6,0.9,5.126795207390692,12,9
996,0.2,3.0,0.7,0.9,5.129615470327878,12,9
997,0.2,2.5,1.0,0.9,5.1309534607345935,12,9
998,0.2,3.0,0.75,0.9,5.137800410637543,12,9
999,0.2,2.5,0.7,0.9,5.139096545750347,12,9
1000,0.2,2.25,0.9,0.9,5.1411829905870645,3,9
1001,0.2,1.25,1.0,0.9,5.144976420922117,0,10
1002,0.2,2.25,0.7,0.9,5.145263141830853,3,9
1003,0.2,2.75,0.7,0.9,5.145413164476853,12,9
1004,0.2,2.5,0.75,0.9,5.146640927439914,12,9
1005,0.2,3.0,0.8,0.9,5.147204683267303,12,9
1006,0.2,2.0,0.9,0.9,5.1476508193002966,0,10
1007,0.2,2.5,0.8,0.9,5.151109809048174,12,9
1008,0.2,2.0,0.7,0.9,5.151682928293081,0,10
1009,0.2,2.5,0.9,0.9,5.15328014122685,12,9
1010,0.2,2.75,0.75,0.9,5.155283849894872,12,9
1011,0.2,2.25,0.75,0.9,5.156149809811772,3,9
1012,0.2,2.25,0.8,0.9,5.162014519958171,3,9
